date,title
"February 17, 2018",Sasikumar in talks for a pivotal role in Dhanush’s Enai Nokki Paayum Thota
"February 17, 2018",20-day schedule of Thalapathy 62 planned in the USA?
"February 17, 2018",Gorilla team to head to Thailand from February 20th
"February 17, 2018",Sivakarthikeyan – Ponram film titled Seema Raja; confirms Vinayagar Chaturthi release
"February 17, 2018","“Rajinikanth and Kamal Haasan won’t foray into politics to earn money,” says Karthi"
"February 16, 2018",Karthick Naren’s next titled Naadaga Medai; a light hearted film about modern day society
"February 16, 2018",Thalapathy 62 shooting swiftly progressing in Chennai
"February 16, 2018",First look poster and title of Sivakarthikeyan – Ponram film to be released tomorrow
"February 16, 2018",Karthik Subbaraj’s silent thriller Mercury to hit screens on April 13th
"February 16, 2018",Creative Entertainers & Distributors acquires all rights of ‘Echarikkai’
"February 15, 2018",Vikram Prabhu’s Asura Guru goes on floors today
"February 15, 2018",Oviya’s women-centric film titled 90ml; Simbu signed as composer
"February 15, 2018",Composer Imman confirms signing Thala Ajith’s Viswasam
"February 15, 2018",Varalaxmi Sarathkumar begins shooting for Maari 2
"February 15, 2018",“Will decide about quitting films after I get into full-time active politics” says Kamal Haasan
"February 14, 2018",Santhanam and director Ram Bala in talks for Dhillukku Dhuddu Part 2
"February 14, 2018",Sudeep to star in Dhanush’s second directorial for Thenandal Studios?
"February 14, 2018",Goli Soda 2 theatrical rights snapped by Sathyamurthi’s Clap Board Production
"February 14, 2018",Sun TV procures satellite rights of Sivakarthikeyan – Ravikumar’s untitled film
"February 14, 2018",Late veteran filmmaker K Balachander’s house to go under the hammer?
